match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.1,Japan,Bahrain,K Kadowaki-Fleming,Abhishek Anand,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.2,Japan,Bahrain,K Kadowaki-Fleming,Abhishek Anand,Ali Dawood,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.3,Japan,Bahrain,Abhishek Anand,K Kadowaki-Fleming,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.4,Japan,Bahrain,Abhishek Anand,K Kadowaki-Fleming,Ali Dawood,0,0,,,,,,lbw,Abhishek Anand,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.5,Japan,Bahrain,Esam Rahman,K Kadowaki-Fleming,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,0.6,Japan,Bahrain,Esam Rahman,K Kadowaki-Fleming,Ali Dawood,0,0,,,,,,bowled,Esam Rahman,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.1,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.2,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.3,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Rizwan Butt,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.4,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.5,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,1.6,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,2,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.1,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.2,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.3,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Ali Dawood,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.4,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Ali Dawood,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.5,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Ali Dawood,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,2.6,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Ali Dawood,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.1,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Rizwan Butt,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.2,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.3,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,6,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.4,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.5,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Rizwan Butt,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,3.6,Japan,Bahrain,B Ito-Davis,K Kadowaki-Fleming,Rizwan Butt,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.1,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.2,Japan,Bahrain,K Kadowaki-Fleming,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,caught,K Kadowaki-Fleming,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.3,Japan,Bahrain,C Hinze,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,stumped,C Hinze,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.4,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.5,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,4.6,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.1,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.2,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.3,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.4,Japan,Bahrain,A Patmore,B Ito-Davis,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.5,Japan,Bahrain,A Patmore,B Ito-Davis,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,5.6,Japan,Bahrain,A Patmore,B Ito-Davis,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.1,Japan,Bahrain,B Ito-Davis,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.2,Japan,Bahrain,B Ito-Davis,A Patmore,Abdul Majid Abbasi,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.3,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,4,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.4,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.5,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,6.6,Japan,Bahrain,A Patmore,B Ito-Davis,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.1,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.2,Japan,Bahrain,A Patmore,B Ito-Davis,Muhammad Salman,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.3,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.4,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.5,Japan,Bahrain,B Ito-Davis,A Patmore,Muhammad Salman,0,0,,,,,,caught,B Ito-Davis,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,7.6,Japan,Bahrain,S Ravichandran,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.1,Japan,Bahrain,A Patmore,S Ravichandran,Abdul Majid Abbasi,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.2,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.3,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.4,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.5,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,8.6,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.1,Japan,Bahrain,A Patmore,S Ravichandran,Muhammad Salman,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.2,Japan,Bahrain,S Ravichandran,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.3,Japan,Bahrain,S Ravichandran,A Patmore,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.4,Japan,Bahrain,S Ravichandran,A Patmore,Muhammad Salman,4,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.5,Japan,Bahrain,S Ravichandran,A Patmore,Muhammad Salman,1,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,9.6,Japan,Bahrain,A Patmore,S Ravichandran,Muhammad Salman,0,0,,,,,,,,,
1523005,2025/26,2026-02-28,"Terdthai Cricket Ground, Bangkok",1,10.1,Japan,Bahrain,S Ravichandran,A Patmore,Abdul Majid Abbasi,0,0,,,,,,,,,
