match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.1,India,Namibia,Ishan Kishan,SV Samson,R Trumpelmann,0,1,1,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.2,India,Namibia,Ishan Kishan,SV Samson,R Trumpelmann,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.3,India,Namibia,Ishan Kishan,SV Samson,R Trumpelmann,1,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.4,India,Namibia,SV Samson,Ishan Kishan,R Trumpelmann,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.5,India,Namibia,SV Samson,Ishan Kishan,R Trumpelmann,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.6,India,Namibia,SV Samson,Ishan Kishan,R Trumpelmann,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,0.7,India,Namibia,SV Samson,Ishan Kishan,R Trumpelmann,6,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.1,India,Namibia,Ishan Kishan,SV Samson,B Shikongo,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.2,India,Namibia,Ishan Kishan,SV Samson,B Shikongo,1,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.3,India,Namibia,SV Samson,Ishan Kishan,B Shikongo,6,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.4,India,Namibia,SV Samson,Ishan Kishan,B Shikongo,6,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.5,India,Namibia,SV Samson,Ishan Kishan,B Shikongo,4,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,1.6,India,Namibia,SV Samson,Ishan Kishan,B Shikongo,0,0,,,,,,caught,SV Samson,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,2.1,India,Namibia,Ishan Kishan,Tilak Varma,JJ Smit,1,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,2.2,India,Namibia,Tilak Varma,Ishan Kishan,JJ Smit,0,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,2.3,India,Namibia,Tilak Varma,Ishan Kishan,JJ Smit,1,0,,,,,,,,,
1512736,2025/26,2026-02-12,"Arun Jaitley Stadium, Delhi",1,2.4,India,Namibia,Ishan Kishan,Tilak Varma,JJ Smit,4,0,,,,,,,,,
