match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.1,New Zealand,Pakistan,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.2,New Zealand,Pakistan,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.3,New Zealand,Pakistan,WA Young,R Ravindra,Shaheen Shah Afridi,4,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.4,New Zealand,Pakistan,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,caught,WA Young,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.5,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,0.6,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.1,New Zealand,Pakistan,R Ravindra,KS Williamson,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.2,New Zealand,Pakistan,R Ravindra,KS Williamson,Naseem Shah,1,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.3,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.4,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,1,1,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.5,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.6,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,1.7,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.1,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.2,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,4,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.3,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.4,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.5,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,2.6,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,4,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.1,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.2,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.3,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.4,New Zealand,Pakistan,KS Williamson,R Ravindra,Naseem Shah,1,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.5,New Zealand,Pakistan,R Ravindra,KS Williamson,Naseem Shah,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,3.6,New Zealand,Pakistan,R Ravindra,KS Williamson,Naseem Shah,4,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.1,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.2,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.3,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.4,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.5,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,2,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,4.6,New Zealand,Pakistan,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.1,New Zealand,Pakistan,R Ravindra,KS Williamson,Abrar Ahmed,1,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.2,New Zealand,Pakistan,KS Williamson,R Ravindra,Abrar Ahmed,1,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.3,New Zealand,Pakistan,R Ravindra,KS Williamson,Abrar Ahmed,1,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.4,New Zealand,Pakistan,KS Williamson,R Ravindra,Abrar Ahmed,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.5,New Zealand,Pakistan,KS Williamson,R Ravindra,Abrar Ahmed,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,5.6,New Zealand,Pakistan,KS Williamson,R Ravindra,Abrar Ahmed,4,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,6.1,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,6.2,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,,,,
1442220,2024/25,2025-02-08,"Gaddafi Stadium, Lahore",1,6.3,New Zealand,Pakistan,R Ravindra,KS Williamson,Shaheen Shah Afridi,4,0,,,,,,,,,
